
 Element Angles                         

 Maximum   =    168.551652129445     
 Minimum   =    6.86679695563101     
 Average   =    88.9050701489439     
 Deviation =    7.77317275870428     

     Minimum     Maximum    Count  Percent
 ----------- ----------- -------- --------
  0.5000E+01  0.7500E+01        1     0.00
  0.7500E+01  0.1000E+02        1     0.00
  0.1250E+02  0.1500E+02        2     0.00
  0.1500E+02  0.1750E+02        1     0.00
  0.1750E+02  0.2000E+02        1     0.00
  0.2000E+02  0.2250E+02        1     0.00
  0.2250E+02  0.2500E+02        3     0.00
  0.2500E+02  0.2750E+02       23     0.01
  0.2750E+02  0.3000E+02       27     0.02
  0.3000E+02  0.3250E+02        9     0.01
  0.3250E+02  0.3500E+02       18     0.01
  0.3500E+02  0.3750E+02       52     0.03
  0.3750E+02  0.4000E+02       84     0.05
  0.4000E+02  0.4250E+02      191     0.11
  0.4250E+02  0.4500E+02      255     0.14
  0.4500E+02  0.4750E+02      307     0.17
  0.4750E+02  0.5000E+02      451     0.25
  0.5000E+02  0.5250E+02      478     0.27
  0.5250E+02  0.5500E+02      500     0.28
  0.5500E+02  0.5750E+02      550     0.31
  0.5750E+02  0.6000E+02      586     0.33
  0.6000E+02  0.6250E+02      711     0.40
  0.6250E+02  0.6500E+02      772     0.43
  0.6500E+02  0.6750E+02      804     0.45
  0.6750E+02  0.7000E+02      828     0.46
  0.7000E+02  0.7250E+02      859     0.48
  0.7250E+02  0.7500E+02     1045     0.59
  0.7500E+02  0.7750E+02     1201     0.67
  0.7750E+02  0.8000E+02     1387     0.78
  0.8000E+02  0.8250E+02     1880     1.06
  0.8250E+02  0.8500E+02     2695     1.51
  0.8500E+02  0.8750E+02     4911     2.76
  0.8750E+02  0.9000E+02   118188    66.35
  0.9000E+02  0.9250E+02    24879    13.97
  0.9250E+02  0.9500E+02     5005     2.81
  0.9500E+02  0.9750E+02     2708     1.52
  0.9750E+02  0.1000E+03     1836     1.03
  0.1000E+03  0.1025E+03     1348     0.76
  0.1025E+03  0.1050E+03      924     0.52
  0.1050E+03  0.1075E+03      684     0.38
  0.1075E+03  0.1100E+03      522     0.29
  0.1100E+03  0.1125E+03      386     0.22
  0.1125E+03  0.1150E+03      276     0.15
  0.1150E+03  0.1175E+03      199     0.11
  0.1175E+03  0.1200E+03      175     0.10
  0.1200E+03  0.1225E+03      116     0.07
  0.1225E+03  0.1250E+03      102     0.06
  0.1250E+03  0.1275E+03       83     0.05
  0.1275E+03  0.1300E+03       55     0.03
  0.1675E+03  0.1700E+03        1     0.00
 -----------------------------------------
