
 Element Angles                         

 Maximum   =   97.9149705
 Minimum   =   36.6532757
 Average   =   60.
 Deviation =   8.37707051

     Minimum     Maximum    Count  Percent
 ----------- ----------- -------- --------
  0.3500E+02  0.3750E+02       10     0.36
  0.3750E+02  0.4000E+02       24     0.87
  0.4000E+02  0.4250E+02       10     0.36
  0.4250E+02  0.4500E+02       45     1.62
  0.4500E+02  0.4750E+02       41     1.48
  0.4750E+02  0.5000E+02      158     5.70
  0.5000E+02  0.5250E+02      144     5.19
  0.5250E+02  0.5500E+02      132     4.76
  0.5500E+02  0.5750E+02      487    17.57
  0.5750E+02  0.6000E+02      590    21.28
  0.6000E+02  0.6250E+02      301    10.86
  0.6250E+02  0.6500E+02      223     8.04
  0.6500E+02  0.6750E+02      196     7.07
  0.6750E+02  0.7000E+02      123     4.44
  0.7000E+02  0.7250E+02       72     2.60
  0.7250E+02  0.7500E+02       47     1.70
  0.7500E+02  0.7750E+02       60     2.16
  0.7750E+02  0.8000E+02       17     0.61
  0.8000E+02  0.8250E+02       34     1.23
  0.8250E+02  0.8500E+02       38     1.37
  0.8500E+02  0.8750E+02        6     0.22
  0.8750E+02  0.9000E+02       12     0.43
  0.9750E+02  0.1000E+03        2     0.07
 -----------------------------------------
