
 Element Angles                         

 Maximum   =    91.0150351223039     
 Minimum   =    37.5485402438584     
 Average   =    59.9999999999999     
 Deviation =    5.40834091482050     

     Minimum     Maximum    Count  Percent
 ----------- ----------- -------- --------
  0.3750E+02  0.4000E+02        4     0.15
  0.4000E+02  0.4250E+02       10     0.38
  0.4250E+02  0.4500E+02       21     0.79
  0.4500E+02  0.4750E+02       25     0.94
  0.4750E+02  0.5000E+02       43     1.61
  0.5000E+02  0.5250E+02       73     2.74
  0.5250E+02  0.5500E+02       88     3.30
  0.5500E+02  0.5750E+02      221     8.30
  0.5750E+02  0.6000E+02      861    32.32
  0.6000E+02  0.6250E+02      895    33.60
  0.6250E+02  0.6500E+02      168     6.31
  0.6500E+02  0.6750E+02       94     3.53
  0.6750E+02  0.7000E+02       71     2.67
  0.7000E+02  0.7250E+02       40     1.50
  0.7250E+02  0.7500E+02       12     0.45
  0.7500E+02  0.7750E+02        7     0.26
  0.7750E+02  0.8000E+02        3     0.11
  0.8000E+02  0.8250E+02        4     0.15
  0.8500E+02  0.8750E+02        6     0.23
  0.8750E+02  0.9000E+02       12     0.45
  0.9000E+02  0.9250E+02        6     0.23
 -----------------------------------------
